cmpd,plate.384,row.384,column.384,available,plate.96,row.96,column.96
100375,MS384003,L,10,,MS096005,H,9
200428,MS384003,L,11,,MS096005,H,10
1500774,MS384003,L,12,,MS096005,H,11
300003,MS384003,L,13,,MS096006,H,2
300005,MS384003,L,14,,MS096006,H,3
300160,MS384003,L,15,,MS096006,H,4
300166,MS384003,L,16,,MS096006,H,5
300228,MS384003,L,17,,MS096006,H,6
300101,MS384003,L,18,,MS096006,H,7
200111,MS384003,L,19,,MS096006,H,8
210211,MS384003,L,20,,MS096006,H,9
1600537,MS384003,L,21,,MS096006,H,10
300566,MS384003,L,22,,MS096006,H,11
DMSO,MS384003,D,3,,NA,NA,NA
DMSO,MS384003,D,8,,NA,NA,NA
DMSO,MS384003,D,13,,NA,NA,NA
DMSO,MS384003,D,18,,NA,NA,NA
DMSO,MS384003,D,22,,NA,NA,NA
DMSO,MS384003,M,3,,NA,NA,NA
DMSO,MS384003,M,8,,NA,NA,NA
DMSO,MS384003,M,13,,NA,NA,NA
DMSO,MS384003,M,18,,NA,NA,NA
DMSO,MS384003,M,22,,NA,NA,NA
1503994,MS384004,E,3,x,MS096007,A,2
2300228,MS384004,E,4,,MS096007,A,3
100360,MS384004,E,5,,MS096007,A,4
100731,MS384004,E,6,,MS096007,A,5
1500143,MS384004,E,7,,MS096007,A,6
1500107,MS384004,E,8,,MS096007,A,7
1500155,MS384004,E,9,,MS096007,A,8
1500247,MS384004,E,10,x,MS096007,A,9
1500296,MS384004,E,11,,MS096007,A,10
1500311,MS384004,E,12,,MS096007,A,11
1500110,MS384004,E,13,,MS096008,A,2
1500102,MS384004,E,14,,MS096008,A,3
1500101,MS384004,E,15,,MS096008,A,4
1500105,MS384004,E,16,,MS096008,A,5
1500163,MS384004,E,17,,MS096008,A,6
1500128,MS384004,E,18,,MS096008,A,7
1500185,MS384004,E,19,,MS096008,A,8
1500269,MS384004,E,20,,MS096008,A,9
1500144,MS384004,E,21,,MS096008,A,10
1500376,MS384004,E,22,,MS096008,A,11
1501202,MS384004,F,3,,MS096007,B,2
1500487,MS384004,F,4,,MS096007,B,3
1500524,MS384004,F,5,,MS096007,B,4
1500534,MS384004,F,6,,MS096007,B,5
1502002,MS384004,F,7,,MS096007,B,6
1500647,MS384004,F,8,,MS096007,B,7
1500657,MS384004,F,9,,MS096007,B,8
1500687,MS384004,F,10,,MS096007,B,9
1500690,MS384004,F,11,,MS096007,B,10
1500724,MS384004,F,12,,MS096007,B,11
1500227,MS384004,F,13,,MS096008,B,2
1500135,MS384004,F,14,,MS096008,B,3
1500115,MS384004,F,15,,MS096008,B,4
1500167,MS384004,F,16,,MS096008,B,5
1500158,MS384004,F,17,,MS096008,B,6
1500390,MS384004,F,18,,MS096008,B,7
1500287,MS384004,F,19,,MS096008,B,8
1500108,MS384004,F,20,,MS096008,B,9
1500187,MS384004,F,21,,MS096008,B,10
